condition,snr_db,wer,relative_degradation_pct
babble,10,1.0182365503863182,42.97306416669633
babble,15,0.9655649411647863,35.57731574052156
babble,5,1.1487452176306667,61.29810273377287
clean,clean,0.7121876811698793,0.0
indoor,10,0.7346350254922236,3.151886071024289
indoor,15,0.7190100254922236,0.9579419165377214
indoor,5,0.735708257815456,3.302581225069844
traffic,10,0.72838988174708,2.2749902877547723
traffic,15,0.7226310572382554,1.4663797682123922
traffic,5,0.7626329741809618,7.083145966273695
